model,generator,mixture,seed,run_dir,dev_accuracy,dev_balanced_accuracy,dev_specificity,dev_precision,dev_recall,dev_f1,dev_roc_auc,dev_pr_auc,dev_far,dev_miss_rate,dev_tn,dev_fp,dev_fn,dev_tp,dev_round,test_accuracy,test_balanced_accuracy,test_specificity,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_far,test_miss_rate,test_tn,test_fp,test_fn,test_tp,test_round,local_cluster_id,local_train_examples,local_accuracy,local_balanced_accuracy,local_specificity,local_precision,local_recall,local_f1,local_roc_auc,local_pr_auc,local_far,local_miss_rate
fedavg,wavegan_lite,25_synthetic_75_original,1,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/wavegan_lite/25_synthetic_75_original/seed_01/run_20260825_113854,0.8046162723600693,0.7495765892635377,0.8878005832828922,0.7010702243072863,0.6113525952441831,0.6531448473673428,0.8337895288701085,0.6275665534590431,0.1121994167171078,0.3886474047558169,16134,2039,3040,4782,25,0.8107867085417394,0.76455082973034,0.8870186894843504,0.7197318810222036,0.6420829699763299,0.6786937055570187,0.8498971096676167,0.6820876175234045,0.1129813105156496,0.3579170300236701,15757,2007,2873,5154,25,0.0434782608695652,845.3623188405797,0.8391208407286562,0.8540826741267358,0.8133816173508692,0.5920234853829273,0.7501433220332382,0.6424918144285775,0.8788108731967128,0.7867489803728764,0.1866183826491308,0.1049291417348777
fedavg,wavegan_lite,25_synthetic_75_original,2,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/wavegan_lite/25_synthetic_75_original/seed_02/run_20260825_123643,0.8177341796499327,0.7625267143595582,0.9011720684531996,0.7309766327142001,0.6238813602659167,0.6731963029383363,0.8363416711592465,0.6319745858355397,0.0988279315468002,0.3761186397340834,16377,1796,2942,4880,25,0.8055135512388042,0.7739703308528043,0.8575208286421977,0.6864858169205995,0.690419833063411,0.6884472049689441,0.8610142525338164,0.706501299370229,0.1424791713578023,0.309580166936589,15233,2531,2485,5542,25,0.0434782608695652,848.9420289855072,0.8371767991793568,0.8465240998607635,0.8111785640078463,0.5890685533317358,0.7369667330573602,0.6371838598974346,0.8698630709273929,0.778165097490186,0.1888214359921536,0.1181057307107557
fedavg,wavegan_lite,25_synthetic_75_original,3,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/wavegan_lite/25_synthetic_75_original/seed_03/run_20260825_124855,0.8123100596268513,0.7523849974934085,0.902877895779453,0.7273289046809825,0.6018920992073639,0.6586918502973067,0.8224232325293467,0.6124107566251848,0.0971221042205469,0.3981079007926361,16408,1765,3114,4708,25,0.8174944748167966,0.7723906658811694,0.8918599414546273,0.7317788327282881,0.6529213903077115,0.6901046810191586,0.8647017656604636,0.7039504868820994,0.1081400585453726,0.3470786096922885,15843,1921,2786,5241,25,0.0434782608695652,853.6666666666666,0.8536645726659294,0.859116944770194,0.8383636056417328,0.6172381086876545,0.7349427476667708,0.6541378615149487,0.8795556041135654,0.7813605741959365,0.1616363943582671,0.1201297161013451
fedavg,wavegan_lite,25_synthetic_75_original,4,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/wavegan_lite/25_synthetic_75_original/seed_04/run_20260825_130257,0.7913060203885363,0.7342315440017302,0.8775656193253728,0.6750401635752884,0.5908974686780875,0.6301724725611835,0.8133610187031224,0.6085662302038578,0.1224343806746272,0.4091025313219125,15948,2225,3200,4622,25,0.8254042107711993,0.7841759195006877,0.8933798693987841,0.7409737417943107,0.6749719696025912,0.7064345785253276,0.8781740853677609,0.7312363757627112,0.1066201306012159,0.3250280303974087,15870,1894,2609,5418,25,0.0434782608695652,849.4927536231884,0.8365887088928327,0.840840963950167,0.8159066695405941,0.5978735055731627,0.7208549939560662,0.6391060450225492,0.8632267117085058,0.7865286342918356,0.1840933304594059,0.1342174698120496
fedavg,wavegan_lite,25_synthetic_75_original,5,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/wavegan_lite/25_synthetic_75_original/seed_05/run_20260825_131347,0.809001731102135,0.7529315640356091,0.8937434655808066,0.712606042565858,0.6121196624904116,0.6585516814524448,0.8306339783565164,0.6107698027665347,0.1062565344191933,0.3878803375095883,16242,1931,3034,4788,25,0.8280407894226668,0.7838706105522548,0.900866921864445,0.7524599381501265,0.6668742992400648,0.7070867181824186,0.8678800237837245,0.6990706533821045,0.099133078135555,0.3331257007599352,16003,1761,2674,5353,25,0.0434782608695652,859.8115942028985,0.8493800831918533,0.8497913751302772,0.8307630334011359,0.6131090922168548,0.7238921806275342,0.6463829903076906,0.8698072449423617,0.7754522246956772,0.169236966598864,0.1311802831405817
fedavg,wavegan_lite,25_synthetic_75_original,6,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/wavegan_lite/25_synthetic_75_original/seed_06/run_20260825_133103,0.7938834391229083,0.7446310357864397,0.8683211357508391,0.6699310344827586,0.6209409358220404,0.6445063694267515,0.8266183948997928,0.6157074406762398,0.1316788642491608,0.3790590641779596,15780,2393,2965,4857,25,0.8041564886976077,0.7573818604553697,0.8812767394730916,0.7068390325271059,0.6334869814376479,0.6681558373300046,0.8524935909982037,0.6834756600432927,0.1187232605269083,0.3665130185623521,15655,2109,2942,5085,25,0.0434782608695652,858.7391304347826,0.845815277346221,0.8459413326285593,0.828391245232655,0.6216285832215946,0.7185638837925797,0.6460741719499228,0.8707231617699355,0.7870544853972083,0.1716087547673451,0.1365085799755362
fedavg,wavegan_lite,25_synthetic_75_original,7,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/wavegan_lite/25_synthetic_75_original/seed_07/run_20260825_134638,0.8005000961723409,0.7389139690305411,0.8935783855169758,0.7026445264452644,0.5842495525441064,0.6380008376378612,0.8347191084556602,0.6251492067744984,0.1064216144830242,0.4157504474558936,16239,1934,3252,4570,25,0.8150517622426428,0.7611256742226129,0.9039630713803196,0.7441895336632178,0.618288277064906,0.6754218835057159,0.8682344134537829,0.7091001321514873,0.0960369286196802,0.381711722935094,16058,1706,3064,4963,25,0.0434782608695652,860.3913043478261,0.8496572829274823,0.8485396471703488,0.8312744564750378,0.6098603104403708,0.7208773016337756,0.6478106415152806,0.8798933096723778,0.797443525092126,0.1687255435249621,0.1341951621343402
fedavg,wavegan_lite,25_synthetic_75_original,8,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/wavegan_lite/25_synthetic_75_original/seed_08/run_20260825_141121,0.7928832467782266,0.7344857768674418,0.8811423540417103,0.680378810298905,0.5878291996931732,0.6307270233196159,0.8229942030066633,0.6036832407901092,0.1188576459582897,0.4121708003068269,16013,2160,3224,4598,25,0.8003954867977201,0.7589194892984881,0.8687795541544697,0.690889802413473,0.6490594244425065,0.6693216855087358,0.8538581872422413,0.6847994485828662,0.1312204458455302,0.3509405755574935,15433,2331,2817,5210,25,0.0434782608695652,869.7391304347826,0.8407309382758748,0.8426363789691642,0.8236245435270027,0.6093703393535552,0.7170221619100878,0.6405854720835877,0.8661541321275825,0.780402072947851,0.1763754564729973,0.138050301858028
fedavg,wavegan_lite,25_synthetic_75_original,9,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/wavegan_lite/25_synthetic_75_original/seed_09/run_20260825_141836,0.7981919599923062,0.7431250055663343,0.8814174874814285,0.6870461806564043,0.6048325236512401,0.6433233614359533,0.8104828387152581,0.6196038326780515,0.1185825125185715,0.3951674763487599,16018,2155,3091,4731,25,0.8249777054011089,0.7785400030638545,0.9015424453951812,0.7505348737697903,0.6555375607325277,0.699827104668174,0.8694550811917232,0.7471914935798941,0.0984575546048187,0.3444624392674723,16015,1749,2765,5262,25,0.0434782608695652,859.1884057971015,0.8454065561912572,0.849809489064794,0.825692652977068,0.604046062621017,0.7289987889206359,0.6437297910769983,0.877278137451667,0.7861174110925271,0.174307347022932,0.1260736748474801
fedavg,wavegan_lite,25_synthetic_75_original,10,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/wavegan_lite/25_synthetic_75_original/seed_10/run_20260825_143723,0.8000769378726679,0.7487330038269788,0.8776756727012601,0.6856173101400085,0.6197903349526975,0.6510441146847512,0.8235128059737458,0.622435949891184,0.1223243272987398,0.3802096650473024,15950,2223,2974,4848,25,0.8272653251134117,0.785151394021534,0.8967011934249043,0.7466169566418116,0.6736015946181637,0.7082323662322353,0.8662402956785094,0.6925548598335167,0.1032988065750957,0.3263984053818363,15929,1835,2620,5407,25,0.0434782608695652,860.2028985507246,0.8378331021739591,0.8494462738357865,0.8113533916446862,0.6030705568702489,0.7432806279903531,0.6448624709995489,0.8785880481300823,0.7961077239857532,0.1886466083553137,0.1117918357777628
fedavg,wavegan_lite,90_synthetic_10_original,1,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/wavegan_lite/90_synthetic_10_original/seed_01/run_20260824_095801,0.787151375264474,0.7316241921182451,0.8710724701480218,0.6640860215053763,0.5921759140884684,0.6260728526052578,0.797960070913094,0.5782799236525418,0.1289275298519782,0.4078240859115316,15830,2343,3190,4632,25,0.8060176030398201,0.7558648990247872,0.8887074983111912,0.7166809974204643,0.623022299738383,0.6665778073975341,0.838970833547114,0.6692596416097415,0.1112925016888088,0.376977700261617,15787,1977,3026,5001,25,0.0434782608695652,7377.028985507246,0.8389927726153046,0.8446895740486215,0.7997440384556521,0.5875612520285507,0.7449875225881638,0.6391209908544946,0.8682948502530623,0.7806251102008757,0.2002559615443477,0.1100849411799521
fedavg,wavegan_lite,90_synthetic_10_original,2,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/wavegan_lite/90_synthetic_10_original/seed_02/run_20260824_133038,0.8126947489901905,0.7481090151147238,0.910306498651846,0.7376468694672461,0.5859115315776017,0.653081581759886,0.823262417659934,0.6307474577915247,0.0896935013481538,0.4140884684223984,16543,1630,3239,4583,25,0.8216432088713117,0.7758120904545672,0.8972078360729565,0.7420539624240712,0.6544163448361779,0.6954852376539123,0.8645659582482641,0.7055195533149986,0.1027921639270434,0.3455836551638221,15938,1826,2774,5253,25,0.0434782608695652,7379.04347826087,0.8360097124833887,0.8423544142166888,0.7995767097225219,0.5865224186746603,0.7406151420716965,0.6384342794621569,0.8627393849680667,0.7716536874339696,0.2004232902774781,0.1144573216964194
fedavg,wavegan_lite,90_synthetic_10_original,3,gen_syntdata/experiments_gans_falls/full_data_full_results/fedavg/wavegan_lite/90_synthetic_10_original/seed_03/run_20260824_155829,0.8143489132525485,0.7510397173797791,0.910031365212128,0.7390679859559528,0.5920480695474303,0.6574389551391255,0.8137626037812691,0.6122388875782089,0.0899686347878721,0.4079519304525696,16538,1635,3191,4631,25,0.8292427591020123,0.7759001355956185,0.9171920738572392,0.775932977913176,0.6346081973339978,0.6981907894736842,0.8663323592883028,0.7121946438661375,0.0828079261427606,0.3653918026660022,16293,1471,2933,5094,25,0.0434782608695652,7383.202898550725,0.8567666580296663,0.8494032651215547,0.8271609044712319,0.6152448807517945,0.7267180895399935,0.6548704715232112,0.8630468618503102,0.7592201740573874,0.172839095528768,0.1283543742281224
